Bulgare,Francais
да,Oui
е,il
не,Non
се,toi-même
и,et
на,sur
си,c'est
за,pour
ще,sera
че,ce
това,ce
ли,si
в,dans
ти,toi
от,depuis
ми,moi
с,avec
какво,quoi
го,il
съм,être
но,mais
аз,je
те,ils
трябва,devoir
добре,Bien
ме,moi
са,sont
няма,il n'y a pas
може,peut
ако,si
тук,ici
така,donc
а,un
ви,toi
като,comme
много,beaucoup
той,il
по,sur
има,ont
беше,c'était
нещо,chose
му,lui
как,comme
защо,pourquoi
ни,Non
я,il
знам,savoir
само,seul
всичко,tout
мен,moi
сега,maintenant
теб,toi
тя,elle
което,où
искам,vouloir
мога,peut
още,plus
когато,quand
до,pour
ги,eux
този,ce
просто,juste
сте,tu es
или,ou
къде,où
би,serait
тази,celui-ci
всички,tous
благодаря,merci
нали,droite
сме,être
нищо,rien
толкова,tellement
знаеш,Vous savez
един,un
защото,pour
след,après
там,là
време,temps
който,OMS
искаш,vouloir
мисля,penser
кой,OMS
малко,un peu
имам,ont
преди,avant
хайде,Allez
вече,déjà
тези,ceux
моля,s'il te plaît
о,o
някой,quelqu'un
каза,a dit
него,lui
наистина,vraiment
ние,nous
вие,toi
които,OMS
й,son
повече,plus
съжалявам,regret
тогава,alors
точно,précisément
става,devenir
все,tous
можеш,tu peux
една,un
имаш,tu as
към,sur
без,sans
колко,combien
кажа,dire
никога,jamais
при,à
човек,personne
работа,travail
им,eux
ден,jour
едно,un
бях,j'ai été
бъде,être
през,à travers
ето,ici
значи,Donc
със,avec
дори,même
хора,personnes
път,route
както,comme
нас,nous
г-н,M.
години,années
бил,Facture
баща,père
правиш,faire
която,qui
разбира,comprendre
също,aussi
мислиш,tu penses
вас,toi
ами,Bien
нея,son
направи,faire
винаги,toujours
докато,alors que
имаме,nous avons
виж,voir
всеки,chaque
иска,vouloir
майка,mère
казах,a dit
нека,laisser
хората,les gens
хей,Hé
жена,femme
видя,voir
дали,si
във,dans
никой,personne
пак,encore
тях,eux
направя,faire
неща,choses
кажи,dire
място,lieu
заради,pour
прави,faire
сър,Monsieur
можем,peut
дяволите,les diables
изглежда,semble
днес,aujourd'hui
кажеш,dire
живота,vie
трябваше,j'ai dû
отново,encore
татко,père
няколко,quelques
наред,Bien
боже,gosh
друг,autre
здравей,Bonjour
затова,donc
бих,serait
доста,joli
обичам,aimer
пари,argent
знае,sache
начин,chemin
моя,mon
мислех,pensée
по-добре,mieux
нужда,besoin
сам,seul
две,deux
дойде,est venu
заедно,ensemble
добър,bien
ела,sapin
нямам,ne pas
приятел,ami
после,après
видим,visible
правя,faire
вечер,dans la soirée
достатъчно,assez
всъщност,en fait
исках,j'ai voulu
проблем,problème
живот,vie
нещата,choses
под,sous
каквото,peu importe
говори,parler
разбирам,comprendre
сигурно,en toute sécurité
чакай,attendez
веднага,immédiatement
ей,Hé
три,trois
какъв,quoi
казва,Il dit
стана,devenir
утре,demain
дай,Donner
добро,bien
знаете,Vous savez
говоря,parler
била,a été
предвид,donné
казвам,dire
колата,la voiture
имате,tu as
себе,soi
момиче,fille
мамо,maman
стане,devenir
харесва,comme
случи,arrivé
нощ,nuit
било,crête
работата,travail
каква,quoi
говориш,vous parlez
бе,c'était
сигурен,sécurisé
искате,tu veux
скъпа,chéri
пред,devant
били,Gamelle
между,entre
друго,autre chose
моята,exploiter
част,partie
стига,assez
направим,faire
имаше,il y avait
освен,outre
мой,mon
двамата,les deux
кога,quand
бяха,ils étaient
върна,revenu
някои,quelques
мъж,homme
момчета,garçons
бързо,rapidement
където,où
извинете,excuse
името,nom
виждам,voir
у,dans
бъда,être
парите,l'argent
видях,J'ai vu
хубаво,D'ACCORD
скоро,bientôt
помогна,aidé
остави,partir
дни,jours
поне,au moins
такъв,tel
здрасти,Bonjour
направиш,tu fais
часа,heure
два,deux
брат,frère
добра,bien
ясно,clairement
знаех,je savais
радвам,content
нямаше,il n'y avait aucun
деца,enfants
взема,prendre
то,donc
около,autour
момче,garçon
щом,dès que
приятели,amis
времето,temps
минути,minutes
правим,faire
колкото,autant que
първо,d'abord
други,autre
спри,Arrêt
страна,côté
работи,travail
помощ,assistance
могат,peut
нито,ni
върви,aller
господи,Seigneur
твоя,ton
предполагам,supposer
момент,moment
направил,fait
чудесно,merveilleusement
година,année
здравейте,Bonjour
знаем,savoir
срещу,contre
можете,tu peux
главата,diriger
случай,cas
имат,ont
кажете,dire
вътре,à l'intérieur
къщата,la maison
твърде,aussi
трудно,dur
дома,maison
пъти,fois
дете,enfant
значение,signification
означава,moyens
почти,presque
идея,idée
име,nom
света,monde
д-р,percer
човече,homme
дъщеря,fille
децата,les enfants
такива,tel
въпрос,question
върху,sur
мамка,merde
голяма,grand
казваш,vous dites
страхотно,super
момента,moment
давай,allez
вероятно,probablement
говорим,parler
прав,droit
вкъщи,à la maison
веднъж,une fois
какви,quoi
истината,la vérité
сериозно,sérieusement
всяка,chaque
кого,qui
идва,vient
откъде,où
щеше,serait
вървим,aller
май,Peut
надявам,espoir
такова,tel
виждаш,tu vois
отида,aller
семейството,la famille
обади,appel
сестра,sœur
мама,maman
понякога,parfois
мисли,penser
вземи,prendre
над,sur
направих,j'ai fait
искаше,Il voulait
чувствам,se sentir
каже,dire
възможно,peut-être
де,où
полицията,police
свят,saint
среща,réunion
моят,mon
земята,La terre
напълно,complètement
намери,trouver
лошо,mal
вярно,fidèlement
даде,a donné
извинявай,Désolé
седмица,semaine
мъртъв,mort
видиш,tu vois
чух,J'ai entendu
слушай,écouter
искал,comme
бог,Dieu
голям,grand
казал,a dit
дам,donner
твоята,le vôtre
час,heure
града,ville
сигурна,sécurisé
тръгваме,nous quittons
коя,OMS
всичките,tous
готов,prêt
странно,étrangement
някога,parfois
пък,et
вратата,porte
цялата,tous
сякаш,comme si
свърши,sur
училище,école
по-късно,plus tard
искат,vouloir
моето,mon
поговорим,parler
такава,tel
семейство,famille
смъртта,décès
сама,seul
ръцете,bras
разбираш,vous comprenez
имах,J'avais
вярвам,croire
бяхме,Nous étions
син,fils
очите,yeux
телефона,le téléphone
другите,les autres
нямаш,vous n'avez pas
скъпи,cher
